ZIP,Pipedrive.Contacts,ZIP.1,Number.of.Schools,HotSpot,lat,long
92410,3,92410,2,1,34.107379,-117.297547
92505,5,92505,3,1,33.936319,-117.493743
92508,1,92508,1,0,33.89113,-117.326742
92530,4,92530,2,1,33.651522,-117.375384
92532,1,92532,1,0,33.692708,-117.303135
92539,2,92539,2,0,33.527867,-116.64762
92543,2,92543,2,0,33.6673,-116.963506
92544,3,92544,3,1,33.648169,-116.895303
92545,2,92545,2,0,33.729684,-117.034192
92551,1,92551,1,0,33.88274,-117.224878
92553,4,92553,2,1,33.923381,-117.244836
92555,2,92555,1,0,33.889702,-117.113427
92557,1,92557,1,0,33.970193,-117.259385
92562,4,92562,2,1,33.547613,-117.34404
92571,2,92571,2,0,33.828396,-117.20766
92583,2,92583,1,0,33.796905,-116.929217
92591,4,92591,1,1,33.53524,-117.104839
92592,3,92592,2,1,33.511228,-117.042396
92595,2,92595,1,0,33.617845,-117.259305
92604,3,92604,2,1,33.690669,-117.789253
92612,2,92612,1,0,33.65844,-117.826009
92626,6,92626,4,1,33.679591,-117.908531
92630,1,92630,1,0,33.645736,-117.685503
92646,2,92646,2,0,33.66205,-117.968459
92647,2,92647,2,0,33.723228,-118.008692
92648,1,92648,1,0,33.67901,-118.014603
92649,3,92649,1,1,33.72524,-118.051579
92651,1,92651,1,0,33.57139,-117.772856
92656,1,92656,1,0,33.576212,-117.730368
92673,2,92673,1,0,33.467371,-117.613509
92675,1,92675,1,0,33.502108,-117.604597
92683,3,92683,2,1,33.752469,-117.993932
92688,1,92688,1,0,33.619672,-117.612087
92691,5,92691,2,1,33.611945,-117.665867
92692,1,92692,1,0,33.606497,-117.643112
92704,7,92704,3,1,33.721131,-117.90511
92705,5,92705,1,1,33.773257,-117.830273
92706,3,92706,1,1,33.765301,-117.881976
92707,3,92707,1,1,33.709935,-117.870431
92708,2,92708,1,0,33.710582,-117.951129
92780,5,92780,3,1,33.734008,-117.819164
92801,1,92801,1,0,33.844983,-117.952151
92804,11,92804,3,1,33.818246,-117.974985
92805,3,92805,2,1,33.830457,-117.905941
92806,1,92806,1,0,33.83796,-117.870494
92807,2,92807,1,0,33.848733,-117.788357
92821,5,92821,2,1,33.927561,-117.887086
92831,1,92831,1,0,33.879768,-117.89634
92832,1,92832,1,0,33.868649,-117.929055
92841,1,92841,1,0,33.786839,-117.982026
92843,1,92843,1,0,33.763961,-117.931366
92844,2,92844,1,0,33.765461,-117.969461
92845,4,92845,1,1,33.783064,-118.026268
92860,6,92860,2,1,33.925519,-117.551958
92868,1,92868,1,0,33.788145,-117.87655
92870,7,92870,3,1,33.881158,-117.854783
92879,3,92879,1,1,33.882614,-117.528205
92880,7,92880,1,1,33.92539,-117.607254
92881,6,92881,2,1,33.827409,-117.524128
92882,6,92882,2,1,33.81948,-117.600559
92886,2,92886,2,0,33.896324,-117.796561
93001,2,93001,1,0,34.006003,-119.392668
93003,2,93003,2,0,34.283668,-119.223196
93010,1,93010,1,0,34.227888,-119.079553
93012,2,93012,1,0,34.196026,-118.992531
93016,1,93016,1,0,34.4041,-118.897777
93033,2,93033,2,0,34.150203,-119.127727
93060,4,93060,2,1,34.402343,-119.094824
93065,3,93065,2,1,34.258405,-118.775026
93103,2,93103,1,0,34.438773,-119.678841
93117,1,93117,1,0,34.479453,-120.084094
93203,1,93203,1,0,35.112617,-118.832292
93204,3,93204,2,1,36.058032,-120.108734
93210,2,93210,1,0,36.216313,-120.424244
93212,3,93212,1,1,36.042151,-119.5277
93215,3,93215,3,1,35.779507,-119.200825
93230,1,93230,1,0,36.29223,-119.622676
93240,1,93240,1,0,35.617546,-118.452285
93241,1,93241,1,0,35.254701,-118.912678
93245,4,93245,2,1,36.29227,-119.829463
93247,1,93247,1,0,36.206269,-119.071075
93252,1,93252,1,0,34.710034,-119.243808
93257,5,93257,4,1,35.988087,-118.860221
93268,1,93268,1,0,35.162402,-119.42517
93274,4,93274,2,1,36.178091,-119.370752
93277,2,93277,1,0,36.301334,-119.372586
93286,2,93286,2,0,36.46271,-119.093242
93291,2,93291,1,0,36.391777,-119.372842
93292,1,93292,1,0,36.373384,-119.211765
93301,1,93301,1,0,35.384336,-119.020562
93306,2,93306,2,0,35.468193,-118.779751
93307,1,93307,1,0,35.24512,-118.9411
93311,5,93311,3,1,35.192404,-119.175866
93312,3,93312,2,1,35.393478,-119.12046
93313,2,93313,2,0,35.163187,-119.046321
93405,1,93405,1,0,35.300465,-120.734843
93420,1,93420,1,0,35.176011,-120.476757
93422,4,93422,1,1,35.463228,-120.688176
93436,2,93436,1,0,34.595669,-120.352667
93438,2,93438,2,0,34.737964,-120.543739
93442,2,93442,1,0,35.401931,-120.799366
93444,1,93444,1,0,35.037198,-120.504593
93447,1,93447,1,0,35.663145,-120.749697
93460,2,93460,1,0,34.653533,-120.007153
93510,1,93510,1,0,34.450906,-118.227614
93514,2,93514,2,0,37.492115,-118.390408
93535,3,93535,3,1,34.713656,-117.86466
93536,3,93536,1,1,34.74739,-118.369249
93543,1,93543,1,0,34.481108,-117.982006
93546,1,93546,1,0,37.548801,-118.83982
93550,1,93550,1,0,34.408548,-118.123592
93551,4,93551,1,1,34.604105,-118.239213
93555,2,93555,1,0,35.606509,-117.683472
93560,1,93560,1,0,34.866894,-118.339832
93561,1,93561,1,0,35.118772,-118.493811
93610,2,93610,1,0,37.098303,-120.281212
93611,6,93611,2,1,36.824452,-119.680031
93618,1,93618,1,0,36.521006,-119.389444
93631,4,93631,2,1,36.478239,-119.52137
93637,5,93637,2,1,36.918079,-120.185933
93644,1,93644,1,0,37.377787,-119.632385
93647,1,93647,1,0,36.60076,-119.175485
93656,1,93656,1,0,36.450944,-119.936819
93657,1,93657,1,0,36.817791,-119.457602
93702,3,93702,1,1,36.739177,-119.753939
93703,1,93703,1,0,36.768859,-119.762395
93706,3,93706,3,1,36.656123,-119.920584
93720,1,93720,1,0,36.862209,-119.760793
93727,1,93727,1,0,36.751154,-119.679617
93730,2,93730,1,0,36.905376,-119.748721
93740,5,93740,1,1,36.905376,-119.748721
93905,2,93905,2,0,36.682351,-121.605904
93922,2,93922,1,0,36.553175,-121.92396
93927,1,93927,1,0,36.248797,-121.386631
93930,1,93930,1,0,36.20506,-121.010363
93933,1,93933,1,0,36.686845,-121.786887
93955,5,93955,2,1,36.61441,-121.786901
94002,12,94002,1,1,37.514354,-122.298901
94010,2,94010,1,0,37.57028,-122.365778
94015,1,94015,1,0,37.681312,-122.480634
94022,3,94022,1,1,37.357488,-122.144439
94025,4,94025,1,1,37.457524,-122.176542
94030,2,94030,1,0,37.59897,-122.401991
94040,4,94040,2,1,37.380569,-122.0853
94044,5,94044,4,1,37.606598,-122.47723
94060,2,94060,1,0,37.239136,-122.367935
94062,5,94062,1,1,37.413691,-122.295343
94063,1,94063,1,0,37.493296,-122.195535
94066,2,94066,1,0,37.625091,-122.433598
94080,5,94080,3,1,37.65549,-122.422075
94087,1,94087,1,0,37.351529,-122.036959
94103,1,94103,1,0,37.773152,-122.411164
94109,2,94109,1,0,37.795388,-122.422444
94112,4,94112,1,1,37.720367,-122.442936
94114,1,94114,1,0,37.758059,-122.435408
94115,2,94115,1,0,37.785969,-122.437253
94116,1,94116,1,0,37.745399,-122.486065
94121,1,94121,1,0,37.776769,-122.494707
94122,2,94122,1,0,37.758799,-122.485127
94124,1,94124,1,0,37.728895,-122.382779
94131,1,94131,1,0,37.745917,-122.441473
94133,1,94133,1,0,37.804531,-122.410852
94134,3,94134,1,1,37.721046,-122.413555
94301,7,94301,1,1,37.444131,-122.149917
94306,6,94306,3,1,37.415729,-122.130764
94401,4,94401,1,1,37.576948,-122.316903
94402,3,94402,1,1,37.523602,-122.34492
94501,2,94501,2,0,37.773793,-122.278115
94503,1,94503,1,0,38.18632,-122.263611
94509,1,94509,1,0,37.996501,-121.812301
94513,7,94513,2,1,37.922228,-121.668359
94520,2,94520,1,0,37.995527,-122.041012
94521,3,94521,1,1,37.956011,-121.956192
94523,3,94523,2,1,37.954131,-122.07614
94525,2,94525,1,0,38.052951,-122.232094
94526,5,94526,2,1,37.814613,-121.990552
94530,3,94530,1,1,37.92156,-122.298336
94531,1,94531,1,0,37.965766,-121.775819
94533,8,94533,6,1,38.280745,-122.00638
94534,7,94534,2,1,38.244548,-122.135088
94536,7,94536,2,1,37.570508,-121.98125
94538,5,94538,3,1,37.501368,-121.956753
94539,2,94539,1,0,37.516898,-121.91175
94540,3,94540,1,1,37.516898,-121.91175
94541,2,94541,2,0,37.673945,-122.084821
94544,2,94544,2,0,37.633822,-122.057202
